SUMLEV,STATE,COUNTY,PLACE,NAME,STNAME,CENSUS2010POP,POPESTIMATE2017
40,1,0,0,Alabama,Alabama,4779736,4874747
162,1,0,124,Abbeville,Alabama,2688,2567
162,1,0,460,Adamsville,Alabama,4522,4347
162,1,0,484,Addison,Alabama,758,728
162,1,0,676,Akron,Alabama,356,332
162,1,0,820,Alabaster,Alabama,30352,33202
162,1,0,988,Albertville,Alabama,21160,21392
162,1,0,1132,Alexander City,Alabama,14875,14595
162,1,0,1228,Aliceville,Alabama,2486,2335
162,1,0,1396,Allgood,Alabama,622,624
162,1,0,1660,Altoona,Alabama,933,917
162,1,0,1708,Andalusia,Alabama,9015,8787
162,1,0,1756,Anderson,Alabama,282,276
162,1,0,1852,Anniston,Alabama,23106,21770
162,1,0,2116,Arab,Alabama,8050,8284
162,1,0,2260,Ardmore,Alabama,1194,1398
162,1,0,2320,Argo,Alabama,4071,4268
162,1,0,2428,Ariton,Alabama,764,739
162,1,0,2500,Arley,Alabama,357,346
162,1,0,2836,Ashford,Alabama,2148,2144
162,1,0,2860,Ashland,Alabama,2037,1932
162,1,0,2908,Ashville,Alabama,2212,2291
162,1,0,2956,Athens,Alabama,21897,25616
162,1,0,3004,Atmore,Alabama,10194,9890
162,1,0,3028,Attalla,Alabama,6048,5827
162,1,0,3076,Auburn,Alabama,53380,63973
162,1,0,3220,Autaugaville,Alabama,870,855
162,1,0,3364,Avon,Alabama,543,514
162,1,0,3556,Babbie,Alabama,603,599
162,1,0,3676,Baileyton,Alabama,610,622
162,1,0,3724,Bakerhill,Alabama,279,255
162,1,0,3940,Banks,Alabama,179,168
162,1,0,4660,Bay Minette,Alabama,8044,9169
162,1,0,4684,Bayou La Batre,Alabama,2558,2512
162,1,0,4852,Bear Creek,Alabama,1070,1042
162,1,0,4900,Beatrice,Alabama,301,280
162,1,0,4948,Beaverton,Alabama,201,185
162,1,0,5164,Belk,Alabama,215,204
162,1,0,5692,Benton,Alabama,49,43
162,1,0,5932,Berry,Alabama,1148,1098
162,1,0,5980,Bessemer,Alabama,27456,26386
162,1,0,6460,Billingsley,Alabama,144,138
162,1,0,7000,Birmingham,Alabama,212237,210710
162,1,0,7120,Black,Alabama,207,208
162,1,0,7456,Blountsville,Alabama,1684,1670
162,1,0,7672,Blue Springs,Alabama,96,87
162,1,0,7912,Boaz,Alabama,9551,9652
162,1,0,8104,Boligee,Alabama,328,302
162,1,0,8248,Bon Air,Alabama,116,113
162,1,0,9016,Brantley,Alabama,809,788
162,1,0,9136,Brent,Alabama,4947,4864
162,1,0,9208,Brewton,Alabama,5408,5236
162,1,0,9328,Bridgeport,Alabama,2418,2312
162,1,0,9400,Brighton,Alabama,2945,2801
162,1,0,9424,Brilliant,Alabama,900,871
162,1,0,9736,Brookside,Alabama,1363,1329
162,1,0,9808,Brookwood,Alabama,1828,1857
162,1,0,10240,Brundidge,Alabama,2076,1952
162,1,0,11032,Butler,Alabama,1894,1738
162,1,0,11416,Calera,Alabama,11620,13979
162,1,0,11512,Camden,Alabama,2020,1845
162,1,0,11680,Camp Hill,Alabama,1014,964
162,1,0,12016,Carbon Hill,Alabama,2021,1928
162,1,0,12040,Cardiff,Alabama,55,53
162,1,0,12160,Carolina,Alabama,297,295
162,1,0,12304,Carrollton,Alabama,1019,968
162,1,0,12496,Castleberry,Alabama,583,553
162,1,0,12760,Cedar Bluff,Alabama,1820,1798
162,1,0,13264,Center Point,Alabama,16921,16313
162,1,0,13648,Centre,Alabama,3489,3498
162,1,0,13672,Centreville,Alabama,2778,2680
162,1,0,14008,Chatom,Alabama,1288,1211
162,1,0,14104,Chelsea,Alabama,10183,13011
162,1,0,14152,Cherokee,Alabama,1048,1005
162,1,0,14392,Chickasaw,Alabama,6106,5794
162,1,0,14464,Childersburg,Alabama,5175,4905
162,1,0,15064,Citronelle,Alabama,3905,3900
